reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
78,80,162,0,0,0,6,0.0907984,,0.0131121,0.0907984,1.004444,1.004444,1.1032281,8.3340117,t,7.307236,None,762892,1,2024-11-13_21h16.56.856,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 21h17.03.601827 +0530
15,35,13,0,1,1,1,8.3483479,,8.336063,8.3483479,9.3453326,9.3453326,9.3618409,15.5217811,l,6.1721718,None,762892,1,2024-11-13_21h16.56.856,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 21h17.03.601827 +0530
11,30,7,0,2,2,0,15.5363397,,15.5235765,15.5363397,16.5375299,16.5375299,16.5375299,20.8768916,t,4.3248304,None,762892,1,2024-11-13_21h16.56.856,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 21h17.03.601827 +0530
49,60,89,0,3,3,4,20.9806064,,20.8780968,20.9806064,21.8930674,21.8930674,21.9933579,37.2447361,t,15.3402702,None,762892,1,2024-11-13_21h16.56.856,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 21h17.03.601827 +0530
40,55,62,0,4,4,3,37.2595108,,37.2459055,37.2595108,38.261222,38.261222,38.261222,44.05302,t,5.787122,None,762892,1,2024-11-13_21h16.56.856,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 21h17.03.601827 +0530
67,75,119,0,5,5,5,44.0674217,,44.0542086,44.0674217,45.0685466,45.0685466,45.0685466,48.5745587,t,3.4991189,None,762892,1,2024-11-13_21h16.56.856,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 21h17.03.601827 +0530
27,50,21,0,6,6,2,48.5890152,,48.575932,48.5890152,49.5734202,49.5734202,49.5907662,62.2398464,l,12.6630464,None,762892,1,2024-11-13_21h16.56.856,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 21h17.03.601827 +0530
40,55,62,1,0,7,3,62.2541532,,62.2410674,62.2541532,63.2548157,63.2548157,63.2548157,73.5352447,t,10.2771074,None,762892,1,2024-11-13_21h16.56.856,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 21h17.03.601827 +0530
15,35,13,1,1,8,1,73.5498792,,73.5364692,73.5498792,74.5511237,74.5511237,74.5511237,79.3247784,l,4.7605919,None,762892,1,2024-11-13_21h16.56.856,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 21h17.03.601827 +0530
11,30,7,1,2,9,0,79.3391813,,79.3259846,79.3391813,80.3407939,80.3407939,80.3407939,91.6212013,l,11.263236,None,762892,1,2024-11-13_21h16.56.856,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 21h17.03.601827 +0530
