reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
78,80,162,0,0,0,6,0.0956981,,0.0129883,0.0956981,1.0104056,1.0104056,1.1098024,8.6646743,t,7.6306147,None,69532,1,2024-11-13_22h25.44.628,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h25.51.179761 +0530
49,60,89,0,1,1,4,8.6806124,,8.6679216,8.6806124,9.6692438,9.6692438,9.6859321,14.2271548,t,4.5513894,None,69532,1,2024-11-13_22h25.44.628,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h25.51.179761 +0530
40,55,62,0,2,2,3,14.2440673,,14.2284379,14.2440673,15.2422632,15.2422632,15.2589023,17.8970645,l,2.6456947,None,69532,1,2024-11-13_22h25.44.628,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h25.51.179761 +0530
15,35,13,0,3,3,1,18.0000158,,17.8982498,18.0000158,18.9130045,18.9130045,19.01319,22.2681034,l,3.3410252,None,69532,1,2024-11-13_22h25.44.628,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h25.51.179761 +0530
11,30,7,0,4,4,0,22.2832123,,22.2694211,22.2832123,23.2677435,23.2677435,23.2845636,25.7895181,l,2.513802,None,69532,1,2024-11-13_22h25.44.628,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h25.51.179761 +0530
67,75,119,0,5,5,5,25.8037324,,25.790708,25.8037324,26.8051324,26.8051324,26.8051324,29.4594907,t,2.6417806,None,69532,1,2024-11-13_22h25.44.628,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h25.51.179761 +0530
27,50,21,0,6,6,2,29.4743231,,29.4606318,29.4743231,30.4769579,30.4769579,30.4769579,35.2649234,t,4.7812413,None,69532,1,2024-11-13_22h25.44.628,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h25.51.179761 +0530
40,55,62,1,0,7,3,35.28036,,35.2656034,35.28036,36.2657297,36.2657297,36.2820985,38.586525,t,2.3184523,None,69532,1,2024-11-13_22h25.44.628,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h25.51.179761 +0530
15,35,13,1,1,8,1,38.6004001,,38.5874247,38.6004001,39.6024543,39.6024543,39.6024543,41.2892048,l,1.6750822,None,69532,1,2024-11-13_22h25.44.628,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h25.51.179761 +0530
78,80,162,1,2,9,6,41.3039353,,41.2902967,41.3039353,42.2888215,42.2888215,42.3063473,44.4770852,t,2.1863089,None,69532,1,2024-11-13_22h25.44.628,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h25.51.179761 +0530
11,30,7,1,3,10,0,44.4916617,,44.4781792,44.4916617,45.4928181,45.4928181,45.4928181,48.197584,l,2.6944557,None,69532,1,2024-11-13_22h25.44.628,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h25.51.179761 +0530
27,50,21,1,4,11,2,48.2116908,,48.1987794,48.2116908,49.2129311,49.2129311,49.2129311,51.4999759,t,2.2708841,None,69532,1,2024-11-13_22h25.44.628,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h25.51.179761 +0530
49,60,89,1,5,12,4,51.5150011,,51.5006815,51.5150011,52.5005711,52.5005711,52.5162819,54.605153,t,2.1021831,None,69532,1,2024-11-13_22h25.44.628,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h25.51.179761 +0530
67,75,119,1,6,13,5,54.6229539,,54.6070168,54.6229539,55.6210159,55.6210159,55.6366702,57.9754569,t,2.352141,None,69532,1,2024-11-13_22h25.44.628,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h25.51.179761 +0530
78,80,162,2,0,14,6,57.9892631,,57.9766282,57.9892631,58.9907213,58.9907213,58.9907213,63.2307973,l,4.2269258,None,69532,1,2024-11-13_22h25.44.628,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h25.51.179761 +0530
49,60,89,2,1,15,4,63.2454733,,63.2319961,63.2454733,64.2463329,64.2463329,64.2463329,67.6345443,t,3.3775996,None,69532,1,2024-11-13_22h25.44.628,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h25.51.179761 +0530
40,55,62,2,2,16,3,67.649168,,67.6355583,67.649168,68.6345525,68.6345525,68.6512991,70.6881534,l,2.0375538,None,69532,1,2024-11-13_22h25.44.628,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h25.51.179761 +0530
27,50,21,2,3,17,2,70.7028993,,70.6893665,70.7028993,71.6879379,71.6879379,71.7048174,74.1252475,l,2.4199234,None,69532,1,2024-11-13_22h25.44.628,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h25.51.179761 +0530
67,75,119,2,4,18,5,74.1402466,,74.1264224,74.1402466,75.1414569,75.1414569,75.1414569,77.2956303,t,2.1444423,None,69532,1,2024-11-13_22h25.44.628,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h25.51.179761 +0530
15,35,13,2,5,19,1,77.3104396,,77.2968318,77.3104396,78.2954018,78.2954018,78.3117986,80.5003188,l,2.1874672,None,69532,1,2024-11-13_22h25.44.628,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h25.51.179761 +0530
