reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
40,55,62,0,0,0,3,0.1578351,,0.0115753,0.1578351,1.0010227,1.0010227,1.1686136,10.8670418,t,9.7800095,None,499348,1,2024-11-13_20h44.19.289,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 20h44.27.330959 +0530
15,35,13,0,1,1,1,10.8802138,,10.8689028,10.8802138,11.8801324,11.8801324,11.8801324,15.586475,l,3.6916118,None,499348,1,2024-11-13_20h44.19.289,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 20h44.27.330959 +0530
67,75,119,0,2,2,5,15.6019911,,15.5875355,15.6019911,16.6025655,16.6025655,16.6025655,23.4449389,t,6.8259613,None,499348,1,2024-11-13_20h44.19.289,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 20h44.27.330959 +0530
49,60,89,0,3,3,4,23.5568109,,23.446377,23.5568109,24.4614359,24.4614359,24.561215,28.9507916,t,4.4728114,None,499348,1,2024-11-13_20h44.19.289,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 20h44.27.330959 +0530
78,80,162,0,4,4,6,28.9658583,,28.9518909,28.9658583,29.9677119,29.9677119,29.9677119,35.257073,t,5.2725161,None,499348,1,2024-11-13_20h44.19.289,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 20h44.27.330959 +0530
11,30,7,0,5,5,0,35.2726308,,35.2580435,35.2726308,36.2570523,36.2570523,36.2738494,38.4606409,l,2.1921844,None,499348,1,2024-11-13_20h44.19.289,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 20h44.27.330959 +0530
27,50,21,0,6,6,2,38.4763235,,38.4612688,38.4763235,39.4605882,39.4605882,39.4773954,45.0220524,l,5.5409657,None,499348,1,2024-11-13_20h44.19.289,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 20h44.27.330959 +0530
67,75,119,1,0,7,5,45.0362818,,45.0245591,45.0362818,46.034591,46.034591,46.0512918,51.308321,t,5.2712309,None,499348,1,2024-11-13_20h44.19.289,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 20h44.27.330959 +0530
78,80,162,1,1,8,6,51.3236193,,51.3089108,51.3236193,52.3081875,52.3081875,52.3249249,57.4816987,l,5.1648216,None,499348,1,2024-11-13_20h44.19.289,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 20h44.27.330959 +0530
11,30,7,1,2,9,0,57.4971895,,57.4823742,57.4971895,58.4811498,58.4811498,58.4983123,65.0061766,l,6.5140008,None,499348,1,2024-11-13_20h44.19.289,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 20h44.27.330959 +0530
15,35,13,1,3,10,1,65.0219796,,65.0068955,65.0219796,66.0066167,66.0066167,66.0231804,71.4804028,l,5.4578155,None,499348,1,2024-11-13_20h44.19.289,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 20h44.27.330959 +0530
49,60,89,1,4,11,4,71.495912,,71.4810339,71.495912,72.4808574,72.4808574,72.4970397,74.0499671,t,1.5567528,None,499348,1,2024-11-13_20h44.19.289,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 20h44.27.330959 +0530
